objectid,identifier,display_template,object_location,image_small,image_thumb,title,date,decade,object_transcript,subject,location,source,type,format,language,rights,rightsstatement
ais_bs_125,IMG_5716,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,"1897-01-13, County tax levy",1897-01-13,1890-1899,"N-8 WB Wed Jan 13, 1897
Co. Levy of taxes for 1897; School Dist. #32 - 311.48 - 10 mills.",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_126,IMG_5717,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,"1897-05-05, Attendance impacts school fund apportionment",1897-05-05,1890-1899,"N-8 WB Wed May 5, 1897
Under the new school law the school funds are apport. upon the ratio of daily attendance: #32
Old law: census = 45 amt recd 40.00
New law: days attend. 2,000 amt recd 22.28",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_127,IMG_5717,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,"1897-05-05, Lummi school district sells bonds",1897-05-05,1890-1899,"N-8 WB Wed May 5, 1897
LI School Dist. No. 52 (32) has succeeded in selling its school bonds at 1% above par. The bonds for 8% and amount to 1000.",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_128,IMG_5717,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,"1897-05-12, Changes in school code",1897-05-12,1890-1899,"N-8 Wed May 12, 1897
Letter from Co. School Supt J. W. Tanner to School
Dist. Clerks outlining rules and changes in school code. One rule - no one can be school director who cannot read and write the english language","Tanner, J. W. ","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_129,IMG_5717,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,"1897-07-28, School apportionment",1897-07-28,1890-1899,"N-8 Wed July 28, 1897
School apport... the amt apport to ea dist is 1.18 cents to ea day's attendance",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_130,IMG_5717,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,"1897-10-27, School apportionment",1897-10-27,1890-1899,"N-8 WB Wed Oct 27, 1897
School apport by J. W. Tanner... #32 No. children days attendance: 2606
Amt funds to which dist entitled: 64.70","Tanner, J. W.","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_131,IMG_5717,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,"1897-12-22, Required attendance law",1897-12-22,1890-1899,"N-8 WB Wed Dec 22, 1897
School law passed by the last elgisl. req. that all children between ages 8 and 15 must attend school at least 3 mos. in ea yr and the clerk in each dist must report ea. derelict child...",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_132,IMG_5717,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,"1897-12-15, Isabell McDermoth teaches private school",1897-12-15,1890-1899,"N-8 Wed Dec 15, 1897
Miss Isabell McDermoth is teaching private school on LI.","McDermoth, Isabell","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_133,IMG_5717,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,"1897-06-01, Austin remains teacher",1897-06-01,1890-1899,"M-17 Pg 150 June 1, 1897
Visitation by J. W. Tanner
#32 - Geo Austin, teacher","Tanner, J. W.; Austin, George R.","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_134,IMG_5717,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5717.jpeg,"1897-02, Special meetings on bonds",1897-02-01,1890-1899,"M-37
Feb 6, 1897
Spec mtg--bonds due Apr 1st--shall call an elec to vote on refunding same to run for 5 yrs, elect to be caled on 20th this mo. Chas L Sicklesteel Clerk
Feb 20, 1897
Minutes Bond Election--Chas L Sicklesteel & F F Lane Judges
Leo Bumstead Clerk of Elec. For bonds 8, against 2","Sicklesteel, Charles L.; Lane, Frederick F.; Bumstead, Leo","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_135,IMG_5718,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5718.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5718.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5718.jpeg,"1897, New Whatcom school meetings",1897,1890-1899,"M-37
New Whatcom, Mar 27, 1897
Reg mtg (formally sold $1000 5 yr *% bonds to W L Patch) that the population of said Schl Dist is 150. 
Beach May 10, 1897
Spec mtg--Mr Nugent and Mr Granger and clerk present. The dist have 3 mos schl--that schl commence Mon May 17th to run 12 wks at rate of 30. mo. Chas L Sicklesteel Clerk
Beach, June 12, 1897
Annual Schl elec... Geo R Austin clerk of elec... (10 mill tax carried with 7 yes cotes, no one voted no.)
Mr Granger elected to 3 yr term, chas Sicklesteel Clerk.
Sept 28, 1897
Directors hire a teacher for a term not to exceed 6 mos at sal not to exceed 35 mo. 
Oct 30, 1897
Spec mtg at house Mr. Chamberlain... have 4 mos term of schl... engage Miss Eva Penfield. That as she would not tch for any less, sal of 35. mo be given her. That fall term beg 1st day Nov 1897. Chas L Sicklesteel
Dec 24, 1897
Spec mtg at res Mr Nugent. That teacher be eng to each in place of Miss Penfield who resigned, for term of 2 mos at sal not exceed 35. mo. ","Nugent, Henry; Granger, Melzar; Sicklesteel, Charles L.; Austin, George R.; Chamberlain, John; Penfield, Eva","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
